artikel_id;udbud_id;url;udd6;Titel;Educational_Category;displaydocclass;kaldenavn;hovedinst;hovedinsttx;instkommune;instkommunetx;instregion;instregiontx;afbrud_statusaar;afbrud_n;afbrud;afbrud_aggr;timetal_statusaar;timetal_OfSupervision;timetal_WithFewStudents;timetal_WithManyStudents;branche_statusaar;branche_n;branchepct1;branchepct2;branchepct3;branchepct4;branchetxt1;branchetxt2;branchetxt3;branchetxt4;offt_privat;ledighed_nyudd_statusaar;ledighed_nyudd_n;ledighed_nyudd;ledighed_nyudd_aggr;maanedloen_nyudd_statusaar;maanedloen_nyudd_n;maanedloen_nyudd;maanedloenp25_nyudd;maanedloenp75_nyudd;maanedloen_nyudd_aggr;ledighed_10aar_statusaar;ledighed_10aar_n;ledighed_10aar;ledighed_10aar_aggr;maanedloen_10aar_statusaar;maanedloen_10aar_n;maanedloen_10aar;maanedloenp25_10aar;maanedloenp75_10aar;maanedloen_10aar_aggr;studbesvarelser_antal;studbesvarelser_pct;fagligmiljo_statusaar;fagligmiljo_n;fagligmiljo_ntotal;fagligmiljo_likert;arbmedstud_statusaar;arbmedstud_n;arbmedstud_ntotal;arbmedstud_likert;medstuderende_n;medstuderende_ntotal;medstuderende_likert;medstuderende_statusaar;socialtmiljo_statusaar;socialtmiljo_n;socialtmiljo_ntotal;socialtmiljo_likert;tidsforbrug_p50;tidsforbrug_undv_pct;tidsforbrug_n;tidsforbrug_arbejde;tidsforbrug_arbejde_n;tidsforbrug_studjob_pct;udb_undervisning_statusaar;udbytte_undervisning_n;udbytte_undervisning_ntotal;udbytte_undervisning_likert;uddaktivitet_opgaver_pct;uddaktivitet_praktik_pct;uddaktivitet_statusaar;uddaktivitet_udlandsophold_pct;uddaktivitet_undervisning_pct;und_engagerede_statusaar;undervisere_engagerede_n;undervisere_engagerede_ntotal;undervisere_engagerede_likert;und_feedback_statusaar;undervisere_feedback_n;undervisere_feedback_ntotal;undervisere_feedback_likert;und_hjaelp_statusaar;undervisere_hjaelp_n;undervisere_hjaelp_ntotal;undervisere_hjaelp_likert;und_kontakt_statusaar;undervisere_kontakt_n;undervisere_kontakt_ntotal;undervisere_kontakt_likert;undervisningsform_statusaar;undervisningsform_n;undervisningsform_p1;undervisningsform_p2;undervisningsform_p3;undervisningsform_p4;undervisningsform_p5;ensom_statusaar;ensom_n;ensom_ntotal;ensom_likert;ensom_altid;ensom_ofte;ensom_nogle;ensom_sjaeldent;ensom_aldrig;stress_daglig_statusaar;stress_daglig_n;stress_daglig_ntotal;stress_daglig_likert;stress_daglig_altid;stress_daglig_ofte;stress_daglig_nogle;stress_daglig_sjaeldent;stress_daglig_aldrig;tilpas_statusaar;tilpas_n;tilpas_ntotal;tilpas_likert;dimbesvarelser_antal;dimbesvarelser_pct;foerstejob_statusaar;foerstejob_n;foerstejob1pct;foerstejob1tx;foerstejob2pct;foerstejob2tx;foerstejob3pct;foerstejob3tx;foerstejob4pct;foerstejob4tx;arbejdsform_statusaar;arbejdsform_n;arbejdsform_fastedagtimer_pct;arbejdsform_faste_aften_nat_pct;arbejdsform_fleksible_pct;arbejdsform_skiftende_pct;arbejdsform_tilretteselv_pct;arbejdsform_andet_pct;arbejdsform_andet_pct2;arbejdstid_statusaar;arbejdstid_n;arbejdstid_timer;jobskabende_statusaar;jobskabende_n;jobskabende_p1;jobskabende_p2;jobskabende_p3;jobskabende_p4;jobskabende_p5;kompetencerudd_statusaar;kompetencerudd_n;kompetencerudd_p1;kompetencerudd_p2;kompetencerudd_p3;kompetencerudd_p4;kompetencerudd_p5;rel_over_udd_job_statusaar;relevans_overens_udd_job_n;relevans_overens_udd_job_ntotal;relevans_overens_udd_job_likert;ruster_til_job_statusaar;ruster_til_job_n;ruster_til_job_ntotal;ruster_til_job_likert;udlandet_statusaar;udlandet_n;udlandet_dk25_pct;udlandet_dk_pct;udlandet_udlandet_pct;hyppigsteid1;hyppigsteid2;hyppigsteid3;hyppigstepct1;hyppigstepct2;hyppigstepct3;hyppigstetx1;hyppigstetx2;hyppigstetx3;hyppigste_statusaar;hyppigste_n
udb2-kandititkommogorg;999999;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/kandidatuddannelser/tekniskvidenskabeligekandidatuddannelser/oevrigetekniskvidenskab/it-kommunikation-og-organisation;626,262,822,962;It, kommunikation og organisation;Universitetsuddannelser;Kandidatuddannelse;;999999;Uddannelsen på landsplan;;;;;201910-202209;474;5;;E2022F2023;13;59;68;201911-202111;2469;38;13;12;37;Information og kommunikation;Videnservice;Handel;Øvrige brancher;85;201910-202306;293;5;;201901-202112;182;38.2;35;42.6;;201910-202306;501;2;;201901-202112;61;54.1;49.1;60.4;;135;35;202310-202312;112;114;3,85;202310-202312;123;123;4,00;122;123;4,11;202310-202312;202310-202312;111;114;3,63;36,0;44;107;15,0;84;94;202310-202312;124;125;3,85;25,00;0,00;E2022F2023;0,00;75,00;202310-202312;118;118;4,33;202310-202312;114;122;3,54;202310-202312;114;118;3,79;202310-202312;107;118;3,88;202310-202312;134;Forelæsninger;Selvstudie (forberedelse, læsning, hjemmeopgaver);Projektarbejde (både individuelt og i grupper);Gruppearbejde (læsegruppe, studiegruppe);Klasseundervisning (holdundervisning);202310-202312;103;104;3,57;2,00;12,00;29,00;42,00;16,00;202310-202312;104;104;3,64;2,00;8,00;36,00;34,00;21,00;202310-202312;114;114;3,81;69;26;202310-202312;63;62;Jeg søgte og blev ansat efter et stillingsopslag;16;Jeg fortsatte i job på den arbejdsplads, hvor jeg havde studiejob;13;Jeg fik job gennem mit netværk;5;Jeg søgte uopfordret;202310-202312;63;21;0;59;0;19;2;2;202310-202312;63;38;202310-202312;63;De kompetencer, jeg fik fra uddannelsen;Studiejob;Jeg har den uddannelse, som er en forudsætning for jobbet;Netværk (fagligt, privat eller formaliseret med mentor eller lignende);Projekt i samarbejde med offentlig eller privat virksomhed;202310-202312;63;IT-færdigheder;Forretningsforståelse;Tværfaglige og projektorienterede kompetencer;Tilegnelse af ny viden;Evnen til at samarbejde;202310-202312;62;63;3,94;202310-202312;62;63;4,02;202310-202312;63;2;97;2;;;;;;;;;;Ingen data;
udb2-kandititproduktudv;621406;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/kandidatuddannelser/tekniskvidenskabeligekandidatuddannelser/oevrigetekniskvidenskab/it-product-design;521262;IT Product Design;Universitetsuddannelser;Kandidatuddannelse;;461437;Syddansk Universitet;621;Kolding;1083;Syddanmark;201910-202209;127;2;;E2022F2023;5;113;109;201911-202111;200;26;16;14;45;Industri;Handel;Information og kommunikation;Øvrige brancher;81;201910-202306;99;29;;201901-202112;33;34.7;26.2;40.7;;Ingen data;;;;Ingen data;;;;;;25;44;202310-202312;21;21;4,14;202310-202312;23;23;4,13;23;23;4,13;202310-202312;202310-202312;21;21;4,19;37,0;70;21;15,0;13;77;202310-202312;23;23;4,13;25,00;0,00;E2022F2023;0,00;75,00;202310-202312;23;23;4,70;202310-202312;23;23;3,70;202310-202312;23;23;4,22;202310-202312;22;23;4,45;202310-202312;24;Projektarbejde (både individuelt og i grupper);Klasseundervisning (holdundervisning);Gruppearbejde (læsegruppe, studiegruppe);Øvelsestimer (herunder værksteds- og laboratoriearbejde);Praktik (herunder klinik eller projektorienteret forløb hos en offentlig eller privat virksomhed;202310-202312;21;21;3,14;5,00;19,00;43,00;24,00;10,00;202310-202312;21;21;3,24;0,00;33,00;19,00;38,00;10,00;202310-202312;21;21;4,00;23;27;202310-202312;19;42;Jeg søgte og blev ansat efter et stillingsopslag;21;Jeg fik job gennem mit netværk;16;Jeg fortsatte i job på den arbejdsplads, hvor jeg havde studiejob;11;Andet;202310-202312;19;58;0;32;0;11;0;0;202310-202312;19;37;202310-202312;19;De kompetencer, jeg fik fra uddannelsen;Netværk (fagligt, privat eller formaliseret med mentor eller lignende);Praktik (praktik, klinik eller projektorienteret forløb hos en offentlig eller privat virksomhed);Innovatinos- og entreprenørskabsaktiviteter;Afsluttende opgave (projekt/speciale);202310-202312;16;Analytiske kompetencer;Kreative og innovative kompetencer;Evnen til at samarbejde;Formidlingsevner;Tværfaglige og projektorienterede kompetencer;202310-202312;18;19;3,00;202310-202312;18;19;3,06;202310-202312;19;0;84;16;;;;;;;;;;Ingen data;
udb2-kandititproduktudv;999999;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/kandidatuddannelser/tekniskvidenskabeligekandidatuddannelser/oevrigetekniskvidenskab/it-product-design;521262;IT Product Design;Universitetsuddannelser;Kandidatuddannelse;;999999;Uddannelsen på landsplan;;;;;201910-202209;127;2;;E2022F2023;5;113;109;201911-202111;200;26;16;14;45;Industri;Handel;Information og kommunikation;Øvrige brancher;81;201910-202306;99;29;;201901-202112;33;34.7;26.2;40.7;;Ingen data;;;;Ingen data;;;;;;25;44;202310-202312;21;21;4,14;202310-202312;23;23;4,13;23;23;4,13;202310-202312;202310-202312;21;21;4,19;37,0;70;21;15,0;13;77;202310-202312;23;23;4,13;25,00;0,00;E2022F2023;0,00;75,00;202310-202312;23;23;4,70;202310-202312;23;23;3,70;202310-202312;23;23;4,22;202310-202312;22;23;4,45;202310-202312;24;Projektarbejde (både individuelt og i grupper);Klasseundervisning (holdundervisning);Gruppearbejde (læsegruppe, studiegruppe);Øvelsestimer (herunder værksteds- og laboratoriearbejde);Praktik (herunder klinik eller projektorienteret forløb hos en offentlig eller privat virksomhed;202310-202312;21;21;3,14;5,00;19,00;43,00;24,00;10,00;202310-202312;21;21;3,24;0,00;33,00;19,00;38,00;10,00;202310-202312;21;21;4,00;23;27;202310-202312;19;42;Jeg søgte og blev ansat efter et stillingsopslag;21;Jeg fik job gennem mit netværk;16;Jeg fortsatte i job på den arbejdsplads, hvor jeg havde studiejob;11;Andet;202310-202312;19;58;0;32;0;11;0;0;202310-202312;19;37;202310-202312;19;De kompetencer, jeg fik fra uddannelsen;Netværk (fagligt, privat eller formaliseret med mentor eller lignende);Praktik (praktik, klinik eller projektorienteret forløb hos en offentlig eller privat virksomhed);Innovatinos- og entreprenørskabsaktiviteter;Afsluttende opgave (projekt/speciale);202310-202312;16;Analytiske kompetencer;Kreative og innovative kompetencer;Evnen til at samarbejde;Formidlingsevner;Tværfaglige og projektorienterede kompetencer;202310-202312;18;19;3,00;202310-202312;18;19;3,06;202310-202312;19;0;84;16;;;;;;;;;;Ingen data;
udb2-kanditlaeringogomstilling;151413;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/oevrigehumaniora/it-laering-og-organisatorisk-omstilling;309862;It, læring og organisatorisk omstilling;Universitetsuddannelser;Kandidatuddannelse;;851446;Aalborg Universitet;101;København;1084;Hovedstaden;201910-202209;142;6;;E2022F2023;51;49;46;201911-202111;603;27;21;15;37;Information og kommunikation;Undervisning;Offentlig administration, forsvar og politi;Øvrige brancher;59;201910-202306;122;10;;201901-202112;85;37.1;32.1;40.9;;Ingen data;;;;Ingen data;;;;;;46;42;202310-202312;43;43;3,91;202310-202312;45;45;4,29;45;45;3,98;202310-202312;202310-202312;43;43;3,79;35,0;37;42;16,0;31;94;202310-202312;45;45;3,36;25,00;16,67;E2022F2023;0,00;58,33;202310-202312;44;44;3,89;202310-202312;45;45;3,69;202310-202312;42;44;3,60;202310-202312;41;44;4,27;202310-202312;46;Projektarbejde (både individuelt og i grupper);Gruppearbejde (læsegruppe, studiegruppe);Klasseundervisning (holdundervisning);Selvstudie (forberedelse, læsning, hjemmeopgaver);Faglig vejledning fra din underviser;202310-202312;43;43;4,14;0,00;5,00;21,00;30,00;44,00;202310-202312;43;43;3,98;0,00;14,00;19,00;23,00;44,00;202310-202312;42;43;3,86;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
udb2-kanditlaeringogomstilling;851416;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/oevrigehumaniora/it-laering-og-organisatorisk-omstilling;309862;It, læring og organisatorisk omstilling;Universitetsuddannelser;Kandidatuddannelse;;851446;Aalborg Universitet;851;Aalborg;1081;Nordjylland;201910-202209;80;6;;E2022F2023;51;44;51;201911-202111;163;28;18;17;37;Undervisning;Sundhed og socialvæsen;Offentlig administration, forsvar og politi;Øvrige brancher;41;201910-202306;47;12;;201901-202112;21;33.9;26.5;37.9;;Ingen data;;;;Ingen data;;;;;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;Ingen data;;;;;;;;;;Ingen data;;;;25,00;16,67;E2022F2023;0,00;58,33;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
udb2-kanditlaeringogomstilling;999999;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/oevrigehumaniora/it-laering-og-organisatorisk-omstilling;309862;It, læring og organisatorisk omstilling;Universitetsuddannelser;Kandidatuddannelse;;999999;Uddannelsen på landsplan;;;;;201910-202209;222;6;;E2022F2023;51;47;48;201911-202111;766;25;22;15;38;Information og kommunikation;Undervisning;Offentlig administration, forsvar og politi;Øvrige brancher;55;201910-202306;169;10;;201901-202112;106;36.7;31.6;40.9;;Ingen data;;;;Ingen data;;;;;;61;37;202310-202312;56;56;3,96;202310-202312;59;59;4,17;59;59;3,92;202310-202312;202310-202312;55;56;3,82;37,0;37;55;15,0;35;91;202310-202312;59;59;3,42;25,00;16,67;E2022F2023;0,00;58,33;202310-202312;57;57;3,95;202310-202312;58;58;3,66;202310-202312;55;57;3,56;202310-202312;54;57;4,19;202310-202312;61;Projektarbejde (både individuelt og i grupper);Selvstudie (forberedelse, læsning, hjemmeopgaver);Gruppearbejde (læsegruppe, studiegruppe);Klasseundervisning (holdundervisning);Forelæsninger;202310-202312;56;56;4,05;0,00;7,00;23,00;27,00;43,00;202310-202312;56;56;3,77;2,00;18,00;21,00;20,00;39,00;202310-202312;55;56;3,89;28;25;202310-202312;23;61;Jeg søgte og blev ansat efter et stillingsopslag;13;Jeg fortsatte i job på den arbejdsplads, hvor jeg havde studiejob;9;Jeg fik job gennem mit netværk;9;Jeg fortsatte i job på den arbejdsplads, hvor jeg skrev opgave / projekt / speciale eller var i praktik;202310-202312;23;13;0;48;0;39;0;0;202310-202312;23;38;202310-202312;23;Studiejob;De kompetencer, jeg fik fra uddannelsen;Praktik (praktik, klinik eller projektorienteret forløb hos en offentlig eller privat virksomhed);Netværk (fagligt, privat eller formaliseret med mentor eller lignende);Afsluttende opgave (projekt/speciale);202310-202312;22;Tilegnelse af ny viden;Menneskelige kompetencer;IT-færdigheder;Analytiske kompetencer;Forretningsforståelse;202310-202312;23;23;3,74;202310-202312;23;23;3,83;202310-202312;23;0;100;0;;;;;;;;;;Ingen data;
udb2-kanditledelse;851416;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/kandidatuddannelser/samfundsvidenskabeligekandidatuddannelser/oevrigesamfundsvidenskab/it-ledelse;835062;It-ledelse;Universitetsuddannelser;Kandidatuddannelse;;851446;Aalborg Universitet;851;Aalborg;1081;Nordjylland;201910-202209;189;3;;E2022F2023;79;0;124;201911-202111;854;41;17;13;29;Information og kommunikation;Offentlig administration, forsvar og politi;Videnservice;Øvrige brancher;76;201910-202306;156;8;;201901-202112;93;38.4;35.7;41.5;;201910-202306;534;1;Institutionstal for undergruppe: Erhvervsøkonomi, kandidat;Ingen data;;;;;;27;20;202310-202312;18;18;4,39;202310-202312;22;22;4,32;22;22;4,41;202310-202312;202310-202312;18;18;4,06;31,5;53;16;10,0;14;74;202310-202312;25;25;4,12;25,00;0,00;E2022F2023;0,00;75,00;202310-202312;19;19;4,58;202310-202312;17;20;3,65;202310-202312;19;19;4,21;202310-202312;19;19;4,37;202310-202312;27;Projektarbejde (både individuelt og i grupper);Forelæsninger;Klasseundervisning (holdundervisning);Selvstudie (forberedelse, læsning, hjemmeopgaver);Gruppearbejde (læsegruppe, studiegruppe);202310-202312;17;17;3,88;0,00;6,00;29,00;35,00;29,00;202310-202312;17;17;3,94;0,00;6,00;24,00;41,00;29,00;202310-202312;18;18;4,22;26;21;202310-202312;24;50;Jeg søgte og blev ansat efter et stillingsopslag;17;Jeg fortsatte i job på den arbejdsplads, hvor jeg havde studiejob;13;Andet;8;Jeg fik job gennem mit netværk;202310-202312;24;25;0;58;0;17;0;0;202310-202312;24;40;202310-202312;24;De kompetencer, jeg fik fra uddannelsen;Studiejob;Netværk (fagligt, privat eller formaliseret med mentor eller lignende);Jeg har den uddannelse, som er en forudsætning for jobbet;Gode karakterer;202310-202312;23;Forretningsforståelse;IT-færdigheder;Tilegnelse af ny viden;Formidlingsevner;Tekniske kompetencer;202310-202312;24;24;3,75;202310-202312;24;24;3,96;202310-202312;24;4;96;0;;;;;;;;;;Ingen data;
udb2-kanditledelse;999999;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/kandidatuddannelser/samfundsvidenskabeligekandidatuddannelser/oevrigesamfundsvidenskab/it-ledelse;835062;It-ledelse;Universitetsuddannelser;Kandidatuddannelse;;999999;Uddannelsen på landsplan;;;;;201910-202209;189;3;;E2022F2023;79;0;124;201911-202111;854;41;17;13;29;Information og kommunikation;Offentlig administration, forsvar og politi;Videnservice;Øvrige brancher;76;201910-202306;156;8;;201901-202112;93;38.4;35.7;41.5;;201910-202306;7635;2;Landstal for undergruppe: Erhvervsøkonomi, kandidat;Ingen data;;;;;;27;20;202310-202312;18;18;4,39;202310-202312;22;22;4,32;22;22;4,41;202310-202312;202310-202312;18;18;4,06;31,5;53;16;10,0;14;74;202310-202312;25;25;4,12;25,00;0,00;E2022F2023;0,00;75,00;202310-202312;19;19;4,58;202310-202312;17;20;3,65;202310-202312;19;19;4,21;202310-202312;19;19;4,37;202310-202312;27;Projektarbejde (både individuelt og i grupper);Forelæsninger;Klasseundervisning (holdundervisning);Selvstudie (forberedelse, læsning, hjemmeopgaver);Gruppearbejde (læsegruppe, studiegruppe);202310-202312;17;17;3,88;0,00;6,00;29,00;35,00;29,00;202310-202312;17;17;3,94;0,00;6,00;24,00;41,00;29,00;202310-202312;18;18;4,22;26;21;202310-202312;24;50;Jeg søgte og blev ansat efter et stillingsopslag;17;Jeg fortsatte i job på den arbejdsplads, hvor jeg havde studiejob;13;Andet;8;Jeg fik job gennem mit netværk;202310-202312;24;25;0;58;0;17;0;0;202310-202312;24;40;202310-202312;24;De kompetencer, jeg fik fra uddannelsen;Studiejob;Netværk (fagligt, privat eller formaliseret med mentor eller lignende);Jeg har den uddannelse, som er en forudsætning for jobbet;Gode karakterer;202310-202312;23;Forretningsforståelse;IT-færdigheder;Tilegnelse af ny viden;Formidlingsevner;Tekniske kompetencer;202310-202312;24;24;3,75;202310-202312;24;24;3,96;202310-202312;24;4;96;0;;;;;;;;;;Ingen data;
udb2-kanditmultimedier;851416;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/oevrigehumaniora/interaktive-digitale-medier;309662;Interaktive digitale medier;Universitetsuddannelser;Kandidatuddannelse;;851446;Aalborg Universitet;851;Aalborg;1081;Nordjylland;201910-202209;82;6;;E2022F2023;102;107;8;201911-202111;541;29;16;13;42;Information og kommunikation;Videnservice;Handel;Øvrige brancher;77;201910-202306;105;29;;201901-202112;67;31.2;25.6;35.8;;Ingen data;;;;Ingen data;;;;;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;Ingen data;;;;;;;;;;Ingen data;;;;25,00;25,00;E2022F2023;0,00;50,00;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
udb2-kanditmultimedier;999999;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/oevrigehumaniora/interaktive-digitale-medier;309662;Interaktive digitale medier;Universitetsuddannelser;Kandidatuddannelse;;999999;Uddannelsen på landsplan;;;;;201910-202209;82;6;;E2022F2023;102;107;8;201911-202111;541;29;16;13;42;Information og kommunikation;Videnservice;Handel;Øvrige brancher;77;201910-202306;105;29;;201901-202112;67;31.2;25.6;35.8;;Ingen data;;;;Ingen data;;;;;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;Ingen data;;;;;;;;;;Ingen data;;;;25,00;25,00;E2022F2023;0,00;50,00;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
udb2-kanditmultimedietek;101530;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/kandidatuddannelser/tekniskvidenskabeligekandidatuddannelser/oevrigetekniskvidenskab/games;626662;Games;Universitetsuddannelser;Kandidatuddannelse;;101530;IT-Universitetet i København;101;København;1084;Hovedstaden;201910-202209;150;5;;E2022F2023;20;177;47;201911-202111;1374;59;9;6;27;Information og kommunikation;Undervisning;Finansiering og forsikring;Øvrige brancher;86;201910-202306;140;12;;201901-202112;75;31.6;26.4;37.9;;201910-202306;96;0;;201901-202112;37;51;42;63.6;;39;33;202310-202312;33;34;4,24;202310-202312;36;36;4,03;36;36;4,19;202310-202312;202310-202312;32;34;4,63;38,0;45;31;12,0;13;100;202310-202312;35;36;4,06;25,00;0,00;E2022F2023;0,00;75,00;202310-202312;36;36;4,58;202310-202312;36;36;4,17;202310-202312;36;36;4,17;202310-202312;36;36;4,44;202310-202312;39;Projektarbejde (både individuelt og i grupper);Forelæsninger;Selvstudie (forberedelse, læsning, hjemmeopgaver);Klasseundervisning (holdundervisning);Gruppearbejde (læsegruppe, studiegruppe);202310-202312;31;32;3,45;0,00;13,00;45,00;26,00;16,00;202310-202312;31;32;3,16;10,00;16,00;29,00;39,00;6,00;202310-202312;34;34;4,35;36;39;202310-202312;35;34;Jeg søgte og blev ansat efter et stillingsopslag;26;Jeg fik job gennem mit netværk;14;Jeg blev headhuntet;9;Jeg fortsatte i job på den arbejdsplads, hvor jeg havde studiejob;202310-202312;35;23;0;63;3;11;0;3;202310-202312;35;36;202310-202312;35;De kompetencer, jeg fik fra uddannelsen;Netværk (fagligt, privat eller formaliseret med mentor eller lignende);Studiejob;Praktik (praktik, klinik eller projektorienteret forløb hos en offentlig eller privat virksomhed);Jeg har den uddannelse, som er en forudsætning for jobbet;202310-202312;35;Tilegnelse af ny viden;IT-færdigheder;Tekniske kompetencer;Evnen til at samarbejde;Tværfaglige og projektorienterede kompetencer;202310-202312;34;35;3,50;202310-202312;35;35;3,66;202310-202312;35;3;89;9;;;;;;;;;;Ingen data;
udb2-kanditmultimedietek;999999;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/kandidatuddannelser/tekniskvidenskabeligekandidatuddannelser/oevrigetekniskvidenskab/games;626662;Games;Universitetsuddannelser;Kandidatuddannelse;;999999;Uddannelsen på landsplan;;;;;201910-202209;150;5;;E2022F2023;20;177;47;201911-202111;1374;59;9;6;27;Information og kommunikation;Undervisning;Finansiering og forsikring;Øvrige brancher;86;201910-202306;140;12;;201901-202112;75;31.6;26.4;37.9;;201910-202306;96;0;;201901-202112;37;51;42;63.6;;39;33;202310-202312;33;34;4,24;202310-202312;36;36;4,03;36;36;4,19;202310-202312;202310-202312;32;34;4,63;38,0;45;31;12,0;13;100;202310-202312;35;36;4,06;25,00;0,00;E2022F2023;0,00;75,00;202310-202312;36;36;4,58;202310-202312;36;36;4,17;202310-202312;36;36;4,17;202310-202312;36;36;4,44;202310-202312;39;Projektarbejde (både individuelt og i grupper);Forelæsninger;Selvstudie (forberedelse, læsning, hjemmeopgaver);Klasseundervisning (holdundervisning);Gruppearbejde (læsegruppe, studiegruppe);202310-202312;31;32;3,45;0,00;13,00;45,00;26,00;16,00;202310-202312;31;32;3,16;10,00;16,00;29,00;39,00;6,00;202310-202312;34;34;4,35;36;39;202310-202312;35;34;Jeg søgte og blev ansat efter et stillingsopslag;26;Jeg fik job gennem mit netværk;14;Jeg blev headhuntet;9;Jeg fortsatte i job på den arbejdsplads, hvor jeg havde studiejob;202310-202312;35;23;0;63;3;11;0;3;202310-202312;35;36;202310-202312;35;De kompetencer, jeg fik fra uddannelsen;Netværk (fagligt, privat eller formaliseret med mentor eller lignende);Studiejob;Praktik (praktik, klinik eller projektorienteret forløb hos en offentlig eller privat virksomhed);Jeg har den uddannelse, som er en forudsætning for jobbet;202310-202312;35;Tilegnelse af ny viden;IT-færdigheder;Tekniske kompetencer;Evnen til at samarbejde;Tværfaglige og projektorienterede kompetencer;202310-202312;34;35;3,50;202310-202312;35;35;3,66;202310-202312;35;3;89;9;;;;;;;;;;Ingen data;
udb2-kanditoplevelsesdesign;851416;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/kandidatuddannelser/humanistiskekandidatuddannelser/oevrigehumaniora/oplevelsesdesign;309362;Oplevelsesdesign;Universitetsuddannelser;Kandidatuddannelse;;851446;Aalborg Universitet;851;Aalborg;1081;Nordjylland;201910-202209;70;14;;E2022F2023;102;104;8;201911-202111;284;24;20;10;46;Information og kommunikation;Handel;Kultur og fritid;Øvrige brancher;83;201910-202306;65;28;;201901-202112;41;31.4;25.7;34.4;;Ingen data;;;;Ingen data;;;;;;13;46;202310-202312;12;12;3,92;202310-202312;13;13;4,31;13;13;4,08;202310-202312;202310-202312;12;12;3,50;34,5;49;12;;;;202310-202312;13;13;3,69;25,00;25,00;E2022F2023;0,00;50,00;202310-202312;12;12;4,42;202310-202312;12;13;3,33;202310-202312;12;12;3,50;202310-202312;12;12;3,33;202310-202312;13;Selvstudie (forberedelse, læsning, hjemmeopgaver);Forelæsninger;Klasseundervisning (holdundervisning);Projektarbejde (både individuelt og i grupper);Gruppearbejde (læsegruppe, studiegruppe);202310-202312;11;11;3,64;0,00;9,00;27,00;55,00;9,00;202310-202312;10;11;3,70;0,00;10,00;30,00;40,00;20,00;202310-202312;12;12;3,92;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
